"id","Kichwa","Español","Kichwa2"
"1447","Pituy"," Deseo amoroso ","munakuy munapayay"
"1448","Pityuk- Chuskulli pukcha"," Arroba ","At señal"
"1449","piñakuy"," enfadado ","phiñasqa"
"1450","piñana"," enfadarse ","phiñakuy"
"1451","Piñashka"," Enojado ","Piñasqa"
"1452","Plumaje"," Patpasapa ","patpasapa"
"1453","Policia"," Chapak ","Chapak"
"1454","Puchu"," Diferencia ","Sapaq kay"
"1455","Puchu tupati"," Cabo de vela ","Vela tukukuy"
"1456","Puchuy"," extraño ","mana riqsisqa"
"1457","Puka"," Rojo ","Puka"
"1458","Puka sara"," Maíz rojo ","puka sara"
"1459","Pukara"," Lugares sagrados – centros ceremoniales ","Sagrado lugares – centros ceremoniales"
"1460","Pukcha"," Quintal ","Quintal"
"1461","Pukchiku"," Onza ","Onza"
"1462","Pukllana"," Jugar ","Pukllay"
"1463","Pukllay"," Deporte ","Pukllay"
"1464","Pukpu"," Litro- botella ","Litro-botella"
"1465","Pukshay akllay kamachik"," Tribunal Electoral ","Tribunal electoral nisqa"
"1466","Puku"," Plato ","Pukullu"
"1467","Pukuk"," Soplador ","Soplador"
"1468","Pukukuk"," Productivo ","Productivo"
"1469","Pukukun"," Fecundo- fertil ","fecund- fertil"
"1470","Pukuna"," Cerbatana ","Pistola de soplado"
"1471","Pukushka"," encantado ","sunqunanasqa"
"1472","Pukuy"," Producción ","Ruway"
"1473","Pukuyay"," Madurez ","Yuyaniyuq"
"1474","Pukyu"," Vertiente ","Qata"
"1475","Pullkanka"," Escudo ","Harkay"
"1476","Pullkankayuk"," Escudero ","Escudero"
"1477","Puma"," Puma ","Puma"
"1478","Puma-maki"," Pumamaqui ","Pumamaqui"
"1479","Punasuyu"," Región Sierra ","Sierra suyu"
"1480","puncha"," día ","punchaw"
"1481","Punchaklla"," Claro ","Pichay"
"1482","Punchankamu"," Libro diario ","Libro de diario"
"1483","Punchanta kawsay"," Vida cotidiana ","Sapa punchaw kawsay"
"1484","Punchayakun"," alba ","Inti lluqsimuy"
"1485","Puntu"," Vasija ","Wanpu"
"1486","Pupu"," Ombligo ","Wiksa"
"1487","Puray"," Relación ","Masichay"
"1488","Purichihallmay"," Segunda desyerbe ","iskay kaq qura qichuy"
"1489","Purik"," Caminante ","Puriq"
"1490","Purikacha"," Paseo ","Puriy"
"1491","Purina"," Caminar ","Puriy"
"1492","Purun"," Llanura abandonada ","saqisqa pampa"
"1493","Purun wiwa"," Animal silvestre ","sallqa uywa"
"1494","Purutu"," Fréjol ","purutukuna"
"1495","PUSAK"," ocho- 8 ","pusaq- 8"
"1496","PUSAK CHUNKA"," ochenta- 80 ","pusaq chunka- 80"
"1497","PUSAK PATSAK"," ochocientos- 800 ","pusaq pachak- 800"
"1498","Pusakkamay"," Dirección ","Tarikuynin"
"1499","Pushak"," Lider ","Kamachiq"
"1500","Pushakakllay"," Tribunal ","Tribunal"
"1501","Pusku- hatki"," Ácido ","Ácido"
"1502","Pusku- putuku"," Espuma ","Espuma"
"1503","Putiha"," Unidad fundamental de la fanega ","Unidad fundamental del fanega"
"1504","Putika"," Botija 12-5 lib ","Jarra 12-5 lib"
"1505","Putitupu"," Medida de volumen ","volumen tupuy"
"1506","Putu"," Galón ","Galón"
"1507","Putuk"," Trapecio ","Trapecio"
"1508","Putukuk"," Trapezoide ","trapecio nisqa"
"1509","Puyuy"," Evaporación ","Evaporación nisqa"
"1510","Puzun"," Estómago ","Wiksa"
"1511","Puñuna"," Dormir ","Puñuy"
"1512","Puñuyllak"," Insomnio ","Allqay"
"1513","Raka"," Vagina ","Vagina"
"1514","? rakacha"," Zanahoria ","Zanahoria"
"1515","Rakacha"," Zanahoria ","Zanahoria"
"1516","Rakikyupay"," Denominador ","Denominador nisqa"
"1517","Rakikyupaykuna"," Números divisores ","yupaykunata rakispa"
"1518","Rakinakuy"," Distribución ","Aypuy"
"1519","Rakinchi"," Submúltiplo ","submultiple nisqa"
"1520","Rakiri"," Parte- sección ","Parte- sección"
"1521","Rakirikuska"," Partes ","partes"
"1522","Rakirikyupay"," Numerador ","Yupaq"
"1523","Raku"," Grueso ","Raku"
"1524","Raku chunchulli"," Intestino grueso ","Hatun wiksa"
"1525","Raku kushma"," Abrigo ","Qata"
"1526","Raku purutu"," Porotón ","porotón nisqa"
"1527","Rakuyay"," Grosor o espesor ","rakhu kaynin utaq rakhu kaynin"
"1528","Rantimpana"," Intercambiar. ","Intercambio."
"1529","Rantimpayni"," Reciprocidad. ","Reciprocidad nisqa."
"1530","Rantina"," Comprar ","Rantiy"
"1531","Rantinpa pankakuna"," Documentos comerciales  ","Comercial nisqa qelqakuna"
"1532","Rantinpak- ayni"," Reciprocidad ","Reciprocidad nisqa"
"1533","Rantinpaktak"," Conmuntativa ","conmutativo nisqa"
"1534","Rantinpanka"," Factura ","Factura"
"1535","Rantinpankaku"," Tarjeta de crédito ","Tarjeta de crédito nisqa"
"1536","Ranziyu"," Gringos- ingleses ","Gringos- Quechua"
"1537","Ranziyukunapak mamallakta"," País Anglosajona ","Anglosajón suyu"
"1538","Rasu"," Sólido agua ","sinchi yaku"
"1539","Rasuyay"," Solidificación agua ","yaku sinchiyachiy"
"1540","Ratata"," Fuego energía ","nina kallpa"
"1541","Ratata allpa"," Pólvora ","Pólvora"
"1542","Ratata urku"," Fuego del volcán ","nina rawray"
"1543","Rawmay"," Podar ","Poda"
"1544","Rawrana"," Arder ","Kañay"
"1545","Rawranay Kaspikuchuna Kapak"," caballero de la ardiente espada ","caballero de la espada rawraq"
"1546","Rayku"," ocasion ","akllana"
"1547","Raymi"," Junio- fiesta ","Junio- raymi"
"1548","RAYMI killa"," Junio ","Junio ​​killa"
"1549","razu"," nevado ","rit’iyuq"
"1550","Rikcha"," Semejanza ","Rikchanakuy"
"1551","Rikcha"," Semejanza- congruencia ","Rikchanakuy- congruencia"
"1552","Rikcha kutirik"," Factor común ","Factor común nisqa"
"1553","Rikchachani"," Valor semejante ","chayman rikchakuq chaninchasqa"
"1554","RIKCHAK"," Foto ","Foto"
"1555","Rikchak"," Foto- fotografía- semejante ","Foto- fotografía- rikchakuq"
"1556","RIKCHAKMAYTU"," carrete de fotos- rollo de pelicula para fotos ","foto carrete - rollo de película para fotos"
"1557","Rikchay/Suyu"," figura ","yupay"
"1558","Rikchayachiy"," Genética ","Genética nisqa"
"1559","Rikra"," Brazo ","Rikra"
"1560","Rikra uku"," Axila ","Axilas"
"1561","Rikramuku"," Codo ","Kuchus"
"1562","Riksi"," Conocido ","Risqisqa"
"1563","Riksichik Yuyay"," Presentación ","Riqsichiy"
"1564","Riksichikyuyay"," Presentación. ","Riqsichiy."
"1565","Riksina"," Conocer ","Yachay"
"1566","Riksiri"," Identidad persona ","identidad runa"
"1567","Riksishka"," Conocido ","Risqisqa"
"1568","Rikuchi"," Manifestación ","Manifestación"
"1569","Rikuchik ruka"," Dedo índice ","Dedo índice"
"1570","Rikuchikkuna"," Indicadores ","Rikuchiqkuna"
"1571","Rikuchina"," Exponer ","Qawachiy"
"1572","Rikuchishuyu"," Pictograma o icono ","Pictograma o icono"
"1573","Rikuchiy"," índice ","indice nisqa"
"1574","Rikuna"," Mirar ","Qaway"
"1575","Rikurayana"," Controlar ","Chiqaqchay"
"1576","Rikurik"," Vista- que se ha visto ","Qhaway- ima rikusqa"
"1577","Rikuypacha"," Paisaje ","Paisaje"
"1578","Rimak"," Hablante ","Rimaq"
"1579","Rimana"," Relatar- hablar ","willa- rimay"
"1580","Rimanakuna"," Dialogar ","rimanakuy"
"1581","RIMARIKUNA"," Expresiones- conversaciones ","Expresiones- rimanakuykuna"
"1582","Rimayachakuy"," Seminario ","Seminario"
"1583","Rimaykachay"," Discurso ","Rimay"
"1584","Rimaytaki"," Copla ","Pareja"
"1585","Rinri"," Oreja- oído ","Ninri, rinri"
"1586","Rinri kuru"," Caracol del oído ","rinri caracol"
"1587","Rinrina"," Arete ","Pendiente"
"1588","Ripana"," Ir ","Riy"
"1589","RIPANKALLI"," boleto o ticket de avion- tren- autobus ","boleto utaq avión-tren-bus nisqa boleto"
"1590","Ritimuna"," Energía ","Kallpa"
"1591","Ritirina kuska"," Lugares energéticos ","kallpasapa sitiokuna"
"1592","Ritiwayra"," Energía eòlica ","Wayra kallpa"
"1593","Ritiy"," Energía ","Kallpa"
"1594","Ruka"," Dedo ","Rukana"
"1595","Ruku"," Viejo ","Machu"
"1596","Ruku yaya / ruku tayta"," Anciano ","Machu runa"
"1597","Rukutu uchu"," Ají picante ","Chili pimienta"
"1598","Rumiyashka"," Fósil ","Fósil"
"1599","Runa"," Ser humano ","Runa"
"1600","Runakak"," Ser humano ","Runa"
"1601","Runapachakay"," Humanidad ","Runa kay"
"1602","RUNAPAK AYCHA"," EL CUERPO HUMANO  ","EL CUERPO HUMAN"
"1603","Runashina"," Personaje ","Sananpa"
"1604","Runayay pacha yuyay"," Evolución del hombre ","Runapa evolucionnin"
"1605","RUNPAKI"," Pelota de futbol ","Pelota de fútbol"
"1606","Ruparishka"," Quemadura ","Kañay"
"1607","Rupariykuna"," Combustión ","Ruphachiy"
"1608","Rurakay"," Deber hacer- obligacion ","deber de hacer - obligación"
"1609","Rurana"," Aplicar ","Ruwachiy"
"1610","Rurarayana"," Ejercitar. ","Ejercicio ruwanapaq."
"1611","Rurarayana (W)"," Ejercitar ","Ejercicio ruwanapaq"
"1612","Rurarayay"," Ejercitar ","Ejercicio ruwanapaq"
"1613","Rurashkayuyay"," Antecedente ","Antecedente nisqa"
"1614","Ruray"," Función- edificar- construir ","Ruway- wasichay- hatarichiy"
"1615","Ruray paktachi"," Rol función ","Papel ruway"
"1616","Ruraykatichiy"," Programa agenda ","programa de agenda nisqa"
"1617","Rurayri ñan"," Proceso operativo ","proceso de operación nisqa"
"1618","RURUKUNA"," FRUTAS ","FURUKUNA"
"1619","Ruwana"," Poncho ","Poncho"
"1620","Río"," Mayu ","Mayo killa"
"1621","Sacha"," Selva ","Yunka"
"1622","Sacha wiwa"," Animal silvestre. ","Sallqa uywa."
"1623","Sachana"," Forestar ","Sacha sacha"
"1624","Sachayu"," Silvestre ","Sallqa"
"1625","Sakina"," Abandonar- dejar ","abandon- saqiy"
"1626","Sakiriy"," Quedarse ","Qhepakunapaq"
"1627","Sakishka"," Abandonado- dejado ","saqisqa- saqisqa"
"1628","Sakma"," Bofetada ","Laq’ay"
"1629","Sakmay"," Abofetear ","Laq’ay"
"1630","Sakra"," brujo ","layqa"
"1631","Sakrachiy"," Hacer brujería ","layqakuy ruway"
"1632","Sakray"," Embrujar- hechizar- echar maleficios ","bruja - encantar - hechizos"
"1633","Saksana"," Hartar ","Saciar"
"1634","Salliy"," Azufre ","Azufre"
"1635","Samana"," Descansar ","Samay"
"1636","Samay"," Aliento- respiración ","samay- samay"
"1637","Samaytu"," Aura ","Aura"
"1638","Sami"," Variedad- clase ","Variedad- clase"
"1639","Saminay"," Herencia ","Saqisqa"
"1640","Saminchashka"," Bendito ","Yupaychasqa"
"1641","Saminchay"," Bendecir viene de la tradición de la cosecha ","Saminchayqa hamun cosecha tradicionmanta"
"1642","Samiyachiy"," Clasificación ","Clasificación nisqa"
"1643","Sanka"," Cerco- excavaciòn ","Cerca - excavación"
"1644","Sanku"," Espeso ","Raku"
"1645","Sapalla"," Viudo- viuda ","Viuda viuda"
"1646","Sapalla nipapurachi"," Correspondencia biunívoca ","hukmanta hukman qillqanakuy"
"1647","Sapalla rikcha kutirik"," Factor común monomio ","Factor común monomial nisqa"
"1648","Sapalla shuti"," Sustantivo individual ","sapalla suti"
"1649","Sapallu"," Sapallo ","sapallo"
"1650","Sapan"," Cada quien - cada uno ","tukuy runa - tukuy runa"
"1651","Sapan kawsaykuna"," Racismo ","Racismo nisqa"
"1652","Sapansami chain"," Población Estadística ","Población Estadística nisqa"
"1653","Sapansami chani"," Población Estadística ","Población Estadística nisqa"
"1654","Sapapurachi"," Inyectiva ","inyectivo nisqa"
"1655","Sapi"," Raiz ","Sapi"
"1656","Sapsi"," Características ","Kaqninkuna"
"1657","Sapsi- imakay"," Característica ","Característica"
"1658","Sapsikuna"," Características ","Kaqninkuna"
"1659","Sara"," Maíz ","Sara"
"1660","Saran"," Rendija ","slit"
"1661","Sarun / kaynapak kayna"," Anteayer ","Qayna punchawmanta ñawpaq punchaw"
"1662","Sasa yuyay"," Oración compuesta. ","Compuesto rimay."
"1663","Sasa yuyay (GT)"," Oración compuesta ","Compuesto rimay"
"1664","Sasak"," Dificil ","Sasachakuy"
"1665","Sasamanta"," Dificilmente ","Ñakayta"
"1666","Sasasapa"," Dificultad ","Sasachakuy"
"1667","Sasi"," Noviembre ","Noviembre killa"
"1668","SASI killa"," Noviembre ","Noviembre killa"
"1669","Satina"," meter ","churay"
"1670","Satirishka"," metido- metiche ","wichqasqa- nosy"
"1671","SAWARINA WARMI"," Novia- prometida ","Novia- novia"
"1672","Saylla"," Hora ","Hora"
"1673","Sayllachik"," Horario ","Programa"
"1674","Sayllachikancha"," Husos Horarios ","Tiempo zonas nisqakuna"
"1675","sayni"," Lila ","Lila"
"1676","Saywa"," Lindero- límite ","Límite- límite"
"1677","Sayway"," limitacion ","limitación nisqa"
"1678","Sañukata"," Tejado ","Qata"
"1679","Shanu- uki"," Cafécolor ","Kaphiy llimp’i"
"1680","Shayak"," Vertical ","Sayanpa"
"1681","Shaykushka"," cansado ","pisipasqa"
"1682","Shayri"," Tabaco ","Tabaco"
"1683","Shayriyay"," Tabaquismo ","cigarro pitaspa"
"1684","Shañu- kiwi"," CaféPlanta ","KaphiyPlanta"
"1685","Shikra"," Bolso- cartera ","Bolsa- billetera"
"1686","Shikshi"," Comezón ","Picazón"
"1687","shimi"," boca ","simi"
"1688","Shimi kamachik"," Gramática ","Gramática"
"1689","Shimi kara"," Labio ","Lip"
"1690","Shimi kiru"," Diente ","Kiru"
"1691","Shimi millma"," Bigote Barba ","Barba de bigote"
"1692","Shimiki"," Sílaba ","Sílaba"
"1693","Shimiku"," Morfema ","Morfema"
"1694","Shimiku yuyay awariy"," Morfosintaxis ","Morfosintaxis nisqa"
"1695","Shimikukancha yachay"," Morfología ","Morfología nisqa"
"1696","Shimininakuy"," Prometerse mutuamente ","prometenakuspa"
"1697","Shiminishka"," Promesa ","Sullullchay"
"1698","Shiminiy"," Prometer ","Sullull"
"1699","Shimisapa"," chismoso ","simi apaykachay"
"1700","Shimiyari"," Relación ","Masichay"
"1701","Shimiyuk kamu"," Diccionario ","Simi taqi"
"1702","Shina"," Ejemplo ","Qatina"
"1703","Shina imallichik"," Adverbio de modo ","adverbio de manera"
"1704","Shinalla- rikchalla"," Parecido a ","Rikchakuq"
"1705","Shinashinalla"," Sencillo ","Mana sasa"
"1706","Shipir"," Cuña ","Cuna"
"1707","Shiray"," Droga ","Droga"
"1708","Shitana"," Arrojar- tirar ","wischuy- wischuy"
"1709","Shiwi"," Anillo ","Siwi"
"1710","SHUK"," uno- 1 ","huk 1"
"1711","Shuk patay paktachani"," Ecuación de primer grado ","Ecuación simple"
"1712","Shukkuna"," Unos ","Wakin"
"1713","Shukllamanta nipapurachi"," Correspondencia univoca ","hukmanta hukman qillqanakuy"
"1714","Shukllayashka"," Unidad ","Huñu"
"1715","Shukniki kallari yachay"," Primer Nivel ","Ñawpaq kaq pata"
"1716","Shukniki Patayay"," Primer Tramo ","Ñawpaq kaq llasay"
"1717","Shuknipa yuyay"," Oración unimembre ","mana miembroyuq mañakuy"
"1718","Shukta charik tantanakuykuna"," Potencias dominantes ","kamachiq atiykuna"
"1719","Shuktak"," otro ","huk"
"1720","Shuktakkuna"," Otros ","Hukkuna"
"1721","Shuktayachik"," caso ","tawa kuchu"
"1722","Shuktayay"," Derivados ","derivados nisqakuna"
"1723","Shukyachina"," Fusionar ","Fusible"
"1724","Shukyachishka"," Unificado grafía ","Hukllachasqa ortografía"
"1725","Shunku"," Núcleo- corazón ","core- sunqu"
"1726","Shunku ruka / chawpi ruka"," Dedo del corazón- dedo del medio ","chawpi dedo- chawpi dedo"
"1727","Shunku yuyay(W)"," Idea central ","Chawpi yuyay"
"1728","Shunkuna"," Humildad ","Modestia"
"1729","Shunkushka"," presentimiento ","sunquchakuy"
"1730","Shunkuyuk"," Humilde ","Ullpu"
"1731","Shunkuyuyay"," Intención ","Umanchay"
"1732","Shushuna"," Filtrar ","Filtrar"
"1733","Shutikuna"," Nomenclatura ","Nomenclatura nisqa"
"1734","Shutillatak"," Verdadero/a ","chiqaq"
"1735","Shutilli"," Adjetivo ","Rimay tikraq"
"1736","Shutintak"," en verdad ","chiqaptapuni"
"1737","SHUTIPAK RANTIKUNA"," PRONOMBRES PERSONALES  ","PERSONAL SUTINCHAKUNA"
"1738","shutipi (llaktapak shutipi)"," Representación ","Representación nisqa"
"1739","Shutiranti"," Pronombre ","Pronombre"
"1740","Shutiy"," verdad ","chiqaq"
"1741","Shuwana"," Robar ","Suway"
"1742","Shuyay"," esperar ","suyay"
"1743","Shuyu"," Imagen- dibujo- gráfico ","Imahina- siq’i- siq’i"
"1744","Shuyu nikichik"," Ordenador gráfico ","computadora gráfica nisqa"
"1745","Shuyuchik chakata"," Rosa de los vientos ","brújula Rosa"
"1746","Shuyutupukamachi"," Sistema geométrico ","sistema geométrico nisqa"
"1747","Shuyutupukamay"," Geometría ","Geometría nisqa"
"1748","Shuyutupukamaychi"," Sistema geométrico ","sistema geométrico nisqa"
"1749","Shuyutupumanya"," Figura geométrica ","Geométrico nisqa siqi"
"1750","Siki"," Nalga ","Nalgas"
"1751","Siki tullu / siki chupa tullu"," Coxis ","coccix"
"1752","Siki utuku"," Ano ","Wata"
"1753","Siklla"," gentil ","Mana judío runakuna"
"1754","Sinchi"," Duro ","Sasa"
"1755","Sinchi aycha"," Músculo ","Aycha"
"1756","Sinchi rumi"," Solido ","Rumi"
"1757","Sinchi rumpa"," Esfera sólida ","esfera sólida nisqa"
"1758","Sinchi wiru"," Cilindro sólido ","cilindro solido nisqa"
"1759","Sinchikay"," Resistencia ","Muchuy"
"1760","Sinchikuy"," Esfuerzo ","Kallpachakuy"
"1761","Sinchiruna"," valiente ","piña"
"1762","Sinchiyachik"," Acentuación/ atrevido ","acentuación/ atrevido"
"1763","Sinchiyachik unancha"," Signo de exclamación ","Exclamación nisqa"
"1764","Sinchiyachiy"," Atreverse ","Atrevir"
"1765","Sinchiyashka"," Dureza ","Rumi kay"
"1766","Sinchiyay"," Solidificación ","Solidificación nisqa"
"1767","Sinchiyuyana"," razon ","imarayku"
"1768","Sinchiyuyarishka"," Razonado ","nispas yuyaykusqa"
"1769","Sinka"," Nariz ","Sinqa"
"1770","Sinka utuku"," Fosa nasal ","Simipa uchkun"
"1771","SINKANKU"," Elefante ","Elefante"
"1772","Sirana"," Coser ","Siray"
"1773","Sirik"," Horizontal ","Kinranpa"
"1774","Sirina"," Acostar ","Puñuy"
"1775","Sirma"," Electricidad ","Electricidad nisqa"
"1776","Sirpa"," Traicion ","traición"
"1777","Sirpak"," Traidor ","Traidor"
"1778","Sirpashka"," traicionado ","traicionasqa"
"1779","Sirpay"," Traicionar ","Traicionay"
"1780","Sisa"," Flor ","Wayta"
"1781","Siti"," Muñeco ","Wawa pukllana"
"1782","Sitwa"," Julio ","Julio killa"
"1783","SITWA killa"," Julio ","Julio killa"
"1784","Suchu"," Paralítico ","Paralítico"
"1785","SUKTA"," seis- 6 ","suqta- 6"
"1786","SUKTA CHUNKA"," sesenta- 60 ","soqta chunka- 60"
"1787","Sukta pakta umiña"," Cubo o exaedro ","cubo o hexaedro nisqa"
"1788","SUKTA PATSAK"," seiscientos- 600 ","suqta pachak- 600"
"1789","Suktachishka tiksi umiña"," Poliedro hexagonal ","suqta kuchuyuq poliedro"
"1790","Suktachishka umiña"," Poliedro hexagonal. ","suqta kuchuyuq poliedro."
"1791","Suku"," Gris- carrizo ","Gris- caña"
"1792","Sulka-kitilli"," Parroquia. ","Parroquia."
"1793","Sulka-kitilli (W)"," Parroquia ","Parroquia"
"1794","Sumak"," Bonito- hermoso- bello- rico- excelente ","Sumaq- sumaq- sumaq- qhapaq- allin"
"1795","Sumak Killka"," Caligrafía ","Caligrafía"
"1796","Sumak kuska"," Zona- lugar turística ","Zona- lugar turístico"
"1797","Sumak kuskakamay"," Turismo ","Turismo nisqa"
"1798","Sumak kuskakuna"," Lugares turísticos ","Lugares turísticos nisqakuna"
"1799","Sumak Napaywan"," Saludos cordiales ","Munay rimaykullayki"
"1800","Sumak rimariy"," Literario ","Literario"
"1801","Sumak rimay yachay"," Literatura. ","Lteratura."
"1802","Sumak rimayachak"," Literato ","Qillqaq"
"1803","Sumak rimayachay"," Literatura ","Lteratura"
"1804","Sumak rimaysami"," Género literario. ","Género literario."
"1805","Sumak rimaysami (W)"," Genero literario ","Género literario"
"1806","Sumak yupay"," Honra- honor ","honor- yupaychay"
"1807","Sumakillka"," Caligrafía. ","Caligrafía."
"1808","Sumakyachik rimay"," Figura literaria ","Figura literaria"
"1809","Sumakyachik yura"," Planta ornamental ","Ornamental nisqa yura"
"1810","Sumakyachina"," Respeto- respetuoso ","respeta- respetakuq"
"1811","Sumaychana - muchana"," Respetar ","Yupaychay"
"1812","Sumaychay"," Respeto ","Yupaychay"
"1813","Suni"," Longitud ","Chutarisqa"
"1814","Sunikuchu"," Ángulo llano o plano ","Ángulo recto o plano"
"1815","Sunisuytu"," Regla o regleta. ","kamachiq utaq kamachiq"
"1816","Sunitupu"," Medida de longitud ","Unay tupuna"
"1817","Suniwachi"," Jabalina ","Javilina"
"1818","Suniyachik kuchu"," Ángulo suplementario ","ángulo suplementario nisqa"
"1819","Suniyak"," Línea ","Siqi"
"1820","Sunka-"," Barba ","Suka"
"1821","Sunkana- tsunkana"," Absorber ","Chunqay"
"1822","Sunturpawkar"," lanza ","lanza"
"1823","Supa- pakpa- karachi"," Fibracabuyo ","Fibracabuyo nisqa"
"1824","Surkuy"," Sacar ","Hapiy"
"1825","Suytuyashka kullka"," Prisma rectangular ","Prisma rectangular nisqa"
"1826","Suyu"," Región ","Suyu"
"1827","Suyu rikuchik iñu"," Puntos cardinales ","Puntos cardinales nisqa"
"1828","Suyuta rikuchik anta"," Brújula ","Brújula"
"1829","Taki"," Música ","Taki"
"1830","Takina"," Cantar ","Takiy"
"1831","Takina"," Tocar musica ","Musikuta tocay"
"1832","Takiwayrariy"," Aeróbico ","aeróbico nisqa"
"1833","Takzu"," Tacso ","Tacso"
"1834","Tallpa"," camisa ","unku"
"1835","Talpa"," Blusa ","Blusa"
"1836","Tampu"," Posta ","Apachiy"
"1837","Tampul"," Desorden ","Trastorno"
"1838","Tampulyachay"," Conocimiento desordenado ","chaqwa yachay"
"1839","Tanapay"," Ayudar- favor ","yanapay- ama hina kaspa"
"1840","Tantachi unancha"," Signo de agrupación. ","Huñunakuy señal."
"1841","Tantachina"," Agrupar ","Huñu"
"1842","Tantachipakta"," Asociativa. ","Asociativo."
"1843","Tantachishka"," Conjunto ","Takyachiy"
"1844","Tantachishka tantariy"," Unión de conjuntos ","Unión de conjuntos"
"1845","Tantachishkakunapa kutinchipaktachi"," Propiedades de la intersección ","Intersección Propiedades nisqakuna"
"1846","Tantachishkakunapa sami"," Clases de conjuntos ","Clases nisqakunata churay"
"1847","Tantachishkakunata paktachiy"," Complementación de conjuntos ","Complementación de conjuntos"
"1848","Tantachishkakunata raki"," Partición de conjuntos. ","Partición de conjuntos."
"1849","Tantachishkakunata rakiy"," Partición de conjuntos de conjuntos ","Partición de conjuntos de conjuntos nisqamanta"
"1850","Tantachishkakunata tukuyyachi"," Complementación de conjuntos. ","Complementación de conjuntos."
"1851","Tantachishkamanta anchuchi"," Diferencia de conjuntos ","Diferencia de conjuntos"
"1852","Tantachishkapa yapaypaktachikuna"," Propiedades de la unión o adición ","Propiedades de la union utaq yapay"
"1853","Tantachishkata kutinkutinchi"," Conjunto potencia. ","Conjunto de potencia."
"1854","Tantachishkata kutinkutinchiy"," Conjunto potencia ","kallpa churasqa"
"1855","Tantachiy"," Agrupación- recoger ","huñuy- huñuy"
"1856","Tantachiy rurayri"," Unión de conjuntos ","Unión de conjuntos"
"1857","Tantachiy unancha"," Signo de agrupación ","huñunapaq señal"
"1858","Tantachiyachay"," Unidad Didáctica ","Unidad didáctica"
"1859","Tantallalawsay"," Reino ","Reino"
"1860","TANTALLI"," Panecillo- pan pequeño ","Muffin- uchuy tanta"
"1861","Tantanakuy"," Organización ","Huñu"
"1862","Tantari yachaypa yupay"," Número de la unidad. ","Unidad yupay."
"1863","Tantarikillka"," Acta. ","Minutokuna."
"1864","Tantariku"," Subconjunto ","Subconjunto"
"1865","Tantarimanta killka"," Acta ","Minutokuna"
"1866","Tantarinakuy"," Asamblea ","Huñunakuy"
"1867","Tantariypa niki"," Orden del día ","Orden del día"
"1868","Tapuk shutiranti"," Pronombre interrogativo ","Tapukuq suti sutinchaq"
"1869","Tapuk yuyay"," Oración interrogativa ","Tapukuq rimay"
"1870","Tapuy"," preguntar ","tapuy"
"1871","Tapuykutichina"," Entrevistar ","Entrevistanapaq"
"1872","Tapyaruna"," Mago ","Layqa"
"1873","Tapyay"," Embrujar ","Layqakuy"
"1874","Tarina"," Encontrar ","Tariy"
"1875","Taripana"," Examen ","Taripay"
"1876","Taripana."," Investigar. ","Qawaykachay."
"1877","Taripapuk"," Juez ","Kuskachaq"
"1878","Taripay"," averiguar ","taripay"
"1879","Taripayhapi"," Descubrir ","Tariy"
"1880","Taririklla Paktachik"," Complemento Circunstancial ","Complemento Circunstancial nisqa"
"1881","Tarpuna"," Sembrar ","Tarpuy"
"1882","Tarpuy"," Sembrar ","Tarpuy"
"1883","Tarpuymirariy"," Implementación ","Implementación nisqa"
"1884","Taruka"," Venado ","Taruka"
"1885","Taslla"," Elegante ","Sumaq"
"1886","Tatki"," Minuto ","Minuto"
"1887","Tatki chumpiku"," Cinta métrica ","Tupunapaq cinta"
"1888","Tatkikutinchi"," Múltiplo del metro ","mitamanta achka"
"1889","Tatkirakinchi"," Submúltiplo del metro ","Submultiple del medidor"
"1890","Tawa"," Cuadrado ","Tawa kuchu"
"1891","Tawakunapa puchu"," Diferencia de cuadrados. ","Diferencia de cuadrados."
"1892","Tawantin"," Precisión ","Precisión nisqa"
"1893","Tawantinsuyu"," imperio ","imperio nisqa"
"1894","Tawasampa"," Corona grande de plumas de guacamayo ","Hatun guacamayo pluma corona"
"1895","Tawasuyu"," Puntos cardinales ","Puntos cardinales nisqa"
"1896","Tawatatki"," Metro cuadrado ","Metro cuadrado"
"1897","Tawayashka kullka"," Prisma cuadrangular ","Prisma cuadrado"
"1898","Tawka"," mucho- bastante- montón ","mucho- bastante mucho"
"1899","Tawka kawsay"," Pluricultural ","achka kawsayniyuq"
"1900","Tawka kilkanancha kutinchichiy"," Factorización de polinomios en general ","Factorización de polinomios en general nisqa"
"1901","Tawka rikcha kutirik"," Factor común polinomio. ","Factor polinomio común nisqa."
"1902","Tawri"," Chocho ","chuchu"
"1903","Tay"," Gol ","Chayana"
"1904","Terrón"," Kurpa ","kurpa"
"1905","Thuka"," Saliva ","Saliva"
"1906","Tierra"," Allpa ","Allpa"
"1907","Tierra blanca"," Yurak allpa ","yurak allpa"
"1908","Tierra estéril"," Tsala allpa ","Tsala allpa"
"1909","Tierra fértil"," Alli allpa ","chaypi chaypi"
"1910","Tierra negra"," Yana allpa ","Yana chaypi"
"1911","Tierra roja"," Puka allpa ","puka allpa"
"1912","Tikrak shimiki"," Sílaba inversa ","inversa sílaba"
"1913","Tikrana"," Volver ","Kutichiy"
"1914","Tikratarpuy"," Reforestaciòn ","sacha-sacha musuqmanta"
"1915","Tikray"," Traducir- convertirse ","traducir- kay"
"1916","Tiksi"," Base o básico. ","Básico o básico."
